timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:28.7,bleT2,-,-,-,0,5,bleA6,-88,bleA2,-55,bleA4,-74,bleA3,-57,bleA5,-65,A,88.023,-864.797,382.226,G,35490,-8120,2800,M,-696,64.5,-309
21:28.8,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-52,bleA4,-76,bleA5,-67,bleA6,-80,A,48.129,-998.753,145.607,G,-3220,-210,630,M,-693,60,-307.5
21:28.9,bleT2,-,-,-,0,5,bleA4,-71,bleA5,-65,bleA6,-72,bleA2,-56,bleA3,-61,A,104.554,-1017.48,113.399,G,11900,10290,-7910,M,-696,60,-309
21:29.0,bleT2,-,-,-,0,5,bleA4,-75,bleA2,-53,bleA3,-55,bleA5,-63,bleA6,-73,A,-85.644,-1040.599,150.548,G,-4620,16800,3220,M,-693,58.5,-294
21:29.1,bleT2,-,-,-,0,4,bleA2,-62,bleA4,-66,bleA5,-66,bleA6,-66,A,146.644,-865.529,271.938,G,9520,13580,-10780,M,-691.5,58.5,-291,,
21:29.2,bleT2,-,-,-,0,3,bleA2,-53,bleA6,-82,bleA4,-69,A,73.871,-974.353,235.826,G,1190,19600,9940,M,-697.5,51,-291,,,,
21:29.3,bleT2,-,-,-,0,4,bleA2,-61,bleA4,-66,bleA5,-69,bleA6,-65,A,-85.034,-1026.02,56.913,G,-11340,-2030,10850,M,-693,39,-286.5,,
21:29.4,bleT2,-,-,-,0,5,bleA2,-52,bleA4,-71,bleA3,-57,bleA5,-67,bleA6,-69,A,125.782,-1040.782,102.541,G,-20230,-3780,-5110,M,-694.5,42,-274.5
21:29.5,bleT2,-,-,-,0,5,bleA4,-69,bleA5,-84,bleA6,-65,bleA2,-53,bleA3,-63,A,-33.062,-932.69,357.582,G,9590,13020,7490,M,-684,46.5,-280.5
21:29.6,bleT2,-,-,-,0,5,bleA2,-52,bleA4,-68,bleA3,-59,bleA5,-66,bleA6,-71,A,99.186,-957.7,272.304,G,11690,980,-3710,M,-693,42,-280.5
21:29.7,bleT2,-,-,-,0,5,bleA6,-65,bleA2,-53,bleA4,-68,bleA3,-60,bleA5,-78,A,-3.843,-1015.04,85.766,G,-10150,-10010,-10850,M,-700.5,40.5,-288
21:29.8,bleT2,-,-,-,0,5,bleA5,-66,bleA2,-52,bleA4,-66,bleA3,-60,bleA6,-73,A,28.609,-995.032,142.008,G,-1750,280,-11410,M,-687,46.5,-276
21:29.9,bleT2,-,-,-,0,5,bleA6,-65,bleA2,-53,bleA3,-59,bleA5,-81,bleA4,-69,A,81.374,-996.252,171.044,G,-2940,-350,-3920,M,-702,40.5,-282
21:30.0,bleT2,-,-,-,0,5,bleA2,-52,bleA3,-62,bleA5,-64,bleA6,-75,bleA4,-76,A,30.988,-995.52,151.707,G,-6090,210,-1260,M,-699,49.5,-283.5
21:30.1,bleT2,-,-,-,0,5,bleA6,-65,bleA2,-53,bleA4,-69,bleA3,-58,bleA5,-77,A,70.028,-970.144,189.039,G,-5880,-2310,210,M,-693,57,-267
21:30.2,bleT2,-,-,-,0,5,bleA2,-52,bleA4,-76,bleA3,-62,bleA5,-63,bleA6,-76,A,55.632,-1010.038,188.429,G,-1330,-2170,-1330,M,-697.5,46.5,-264
21:30.3,bleT2,-,-,-,0,4,bleA4,-70,bleA5,-72,bleA6,-66,bleA2,-77,A,99.857,-998.631,196.664,G,-770,1610,-6160,M,-700.5,54,-265.5,,
21:30.5,bleT2,-,-,-,0,4,bleA6,-67,bleA2,-51,bleA4,-67,bleA3,-63,A,44.835,-1005.158,130.296,G,-4200,3710,-2100,M,-703.5,60,-258,,
21:30.6,bleT2,-,-,-,0,5,bleA6,-66,bleA2,-57,bleA3,-58,bleA4,-70,bleA5,-68,A,126.514,-980.148,145.424,G,-6720,5670,-3010,M,-703.5,51,-255
21:30.7,bleT2,-,-,-,0,4,bleA4,-69,bleA3,-60,bleA2,-51,bleA6,-74,A,117.913,-966.911,149.45,G,-7910,15960,-5460,M,-691.5,60,-261,,
21:30.8,bleT2,-,-,-,0,4,bleA2,-70,bleA4,-71,bleA5,-67,bleA6,-65,A,118.035,-949.648,137.677,G,-6930,14420,-4620,M,-699,51,-253.5,,
