timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:43.6,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-65,bleA2,-77,bleA6,-66,bleA4,-61,A,959.957,-210.877,-210.084,G,-52430,19600,11340,M,-262.5,517.5,208.5,
25:43.7,bleT2,-,-,-,0,5,bleA4,-67,bleA6,-63,bleA3,-64,bleA2,-66,bleA5,-52,A,1050.786,-135.725,-569.13,G,-53760,-7630,14840,M,-259.5,535.5,172.5,
25:43.8,bleT2,-,-,-,0,3,bleA6,-85,bleA5,-60,bleA3,-71,,,,,A,925.187,-123.83,-345.077,G,-20580,10850,-4760,M,-244.5,532.5,168,
25:43.9,bleT2,-,-,-,0,5,bleA4,-70,bleA5,-62,bleA6,-72,bleA3,-61,bleA2,-70,A,899.201,39.223,-360.754,G,-12670,31430,9310,M,-252,532.5,151.5,
25:44.0,bleT2,-,-,-,0,5,bleA5,-60,bleA3,-63,bleA2,-71,bleA4,-69,bleA6,-64,A,882.731,-49.41,-241.865,G,-13580,-1750,-420,M,-247.5,561,138,
25:44.1,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-72,bleA4,-60,bleA6,-68,bleA5,-57,A,906.826,-89.182,-347.639,G,4900,-3920,-8050,M,-241.5,547.5,141,
25:44.2,bleT2,-,-,-,0,5,bleA2,-59,bleA5,-55,bleA4,-72,bleA6,-63,bleA3,-74,A,918.355,-87.901,-340.441,G,36890,140,-3500,M,-241.5,546,153,
25:44.3,bleT2,-,-,-,0,3,bleA4,-60,bleA2,-70,bleA5,-55,,,,,A,1080.798,-192.638,-345.992,G,49280,-20370,-14280,M,-267,540,163.5,
25:44.4,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-67,bleA5,-54,bleA4,-80,bleA6,-72,A,911.828,-49.471,-177.632,G,32830,7350,7560,M,-288,531,172.5,
25:44.5,bleT2,-,-,-,0,3,bleA3,-77,bleA2,-74,bleA5,-56,,,,,A,923.54,-150.67,-312.015,G,28770,19250,2520,M,-298.5,544.5,177,
25:44.6,bleT2,-,-,-,0,5,bleA2,-61,bleA5,-53,bleA4,-67,bleA6,-72,bleA3,-63,A,846.07,-177.022,-195.139,G,7420,6090,-490,M,-313.5,543,168,
25:44.7,bleT2,-,-,-,0,5,bleA4,-70,bleA6,-66,bleA3,-71,bleA2,-79,bleA5,-56,A,919.453,-202.215,-263.886,G,770,-6230,-840,M,-312,547.5,159,
25:44.9,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-64,bleA2,-60,bleA4,-67,bleA6,-70,A,938.546,-176.595,-285.48,G,-2870,-11200,-3780,M,-303,550.5,184.5,
25:45.0,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-79,bleA4,-73,bleA5,-57,bleA6,-67,A,921.466,-193.004,-246.623,G,-5250,-2380,-1680,M,-285,546,174,
25:45.1,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-66,bleA2,-65,bleA4,-67,bleA6,-70,A,922.503,-180.499,-258.396,G,-6160,-5040,-1820,M,-285,544.5,174,
25:45.2,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-77,bleA4,-73,bleA5,-57,bleA6,-67,A,932.141,-179.218,-265.35,G,-4410,-2100,-840,M,-285,546,178.5,
25:45.3,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-65,bleA4,-67,bleA5,-53,bleA6,-70,A,929.274,-181.475,-274.561,G,-3430,-4900,-1050,M,-289.5,543,183,
25:45.4,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-77,bleA4,-73,bleA5,-57,bleA6,-66,A,943.121,-171.654,-259.86,G,-4480,-1960,-560,M,-286.5,537,181.5,
25:45.5,bleT2,-,-,-,0,5,bleA5,-52,bleA3,-67,bleA2,-65,bleA4,-67,bleA6,-69,A,936.411,-178.364,-286.578,G,-3080,1540,3430,M,-279,538.5,193.5,
25:45.6,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-77,bleA4,-73,bleA6,-66,bleA5,-57,A,918.477,-189.222,-269.071,G,-630,2030,2590,M,-291,546,177,
25:45.7,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-65,bleA4,-67,bleA6,-69,bleA5,-52,A,925.309,-181.231,-272.792,G,1330,630,1050,M,-300,547.5,166.5,
25:45.8,bleT2,-,-,-,0,2,bleA4,-68,bleA3,-71,,,,,,,A,930.006,-183.183,-264.618,G,1750,140,-210,M,-301.5,534,183,
25:45.8,bleT2,-,-,-,0,3,bleA6,-66,bleA5,-57,bleA2,-77,,,,,A,925.675,-190.076,-263.337,G,1540,-420,-980,M,-301.5,537,180,
25:45.9,bleT2,-,-,-,0,5,bleA2,-61,bleA6,-69,bleA4,-66,bleA5,-52,bleA3,-65,A,936.838,-187.819,-266.875,G,1820,770,-280,M,-306,535.5,184.5,
25:46.0,bleT2,-,-,-,0,5,bleA3,-70,bleA2,-76,bleA4,-70,bleA5,-57,bleA6,-67,A,924.089,-193.126,-254.614,G,770,1470,350,M,-306,535.5,180,
25:46.1,bleT2,-,-,-,0,5,bleA3,-66,bleA2,-65,bleA4,-66,bleA5,-52,bleA6,-69,A,924.211,-190.442,-253.211,G,0,-140,-840,M,-286.5,550.5,175.5,
25:46.2,bleT2,-,-,-,0,5,bleA3,-69,bleA2,-77,bleA5,-57,bleA4,-70,bleA6,-66,A,935.557,-188.795,-259.189,G,-770,-700,-1680,M,-285,547.5,178.5,
25:46.4,bleT2,-,-,-,0,5,bleA3,-69,bleA2,-76,bleA4,-70,bleA5,-57,bleA6,-66,A,929.396,-192.089,-258.518,G,0,1540,-70,M,-310.5,547.5,169.5,
25:46.5,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-65,bleA4,-66,bleA5,-52,bleA6,-69,A,929.396,-191.906,-254.919,G,420,2310,-420,M,-289.5,543,178.5,
25:46.6,bleT2,-,-,-,0,5,bleA3,-70,bleA4,-69,bleA5,-57,bleA6,-63,bleA2,-76,A,931.348,-190.564,-249.612,G,70,1050,-1330,M,-297,544.5,177,
25:46.7,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-66,bleA2,-65,bleA4,-67,bleA6,-69,A,937.753,-188.795,-249.063,G,-420,770,-1260,M,-294,553.5,180,
25:46.9,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-76,bleA4,-69,bleA6,-66,bleA5,-57,A,940.132,-187.27,-245.952,G,-490,1750,-840,M,-297,544.5,165,
25:47.0,bleT2,-,-,-,0,5,bleA2,-61,bleA4,-67,bleA5,-52,bleA6,-69,bleA3,-66,A,931.043,-185.989,-242.353,G,-420,840,-420,M,-303,543,172.5,
25:47.1,bleT2,-,-,-,0,5,bleA4,-70,bleA5,-56,bleA6,-63,bleA3,-72,bleA2,-75,A,929.762,-186.599,-238.083,G,-560,980,-560,M,-300,552,174,
25:47.2,bleT2,-,-,-,0,4,bleA3,-65,bleA2,-64,bleA4,-68,bleA6,-72,,,A,932.568,-183.122,-236.192,G,-140,490,-1050,M,-297,550.5,181.5,
25:47.3,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-66,bleA3,-73,bleA2,-75,bleA5,-56,A,925.004,-186.172,-223.321,G,-560,420,-210,M,-315,550.5,171,
25:47.4,bleT2,-,-,-,0,5,bleA5,-52,bleA3,-66,bleA2,-61,bleA4,-68,bleA6,-71,A,925.858,-190.93,-234.789,G,-700,-70,-630,M,-300,543,180,
25:47.5,bleT2,-,-,-,0,4,bleA4,-69,bleA3,-75,bleA2,-75,bleA5,-56,,,A,927.139,-189.527,-231.556,G,-70,700,-910,M,-301.5,547.5,172.5,
25:47.6,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-66,bleA2,-64,bleA4,-68,bleA6,-71,A,925.98,-187.453,-227.652,G,-210,840,-1610,M,-304.5,544.5,171,
25:47.7,bleT2,-,-,-,0,5,bleA4,-69,bleA5,-56,bleA6,-63,bleA3,-77,bleA2,-74,A,928.176,-185.806,-229.787,G,-1190,350,-1330,M,-303,552,172.5,
25:47.8,bleT2,-,-,-,0,5,bleA5,-53,bleA3,-69,bleA2,-62,bleA6,-71,bleA4,-68,A,921.771,-178.181,-230.519,G,-2240,-420,-1050,M,-303,558,175.5,
25:47.9,bleT2,-,-,-,0,5,bleA3,-80,bleA2,-72,bleA5,-56,bleA4,-72,bleA6,-65,A,910.303,-181.597,-242.475,G,-8190,-4550,-1190,M,-298.5,553.5,166.5,
25:48.0,bleT2,-,-,-,0,5,bleA2,-69,bleA4,-68,bleA5,-51,bleA6,-73,bleA3,-71,A,912.743,-175.253,-229.665,G,-21140,-10780,560,M,-297,540,171,
25:48.1,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-80,bleA4,-66,bleA5,-55,bleA6,-65,A,932.385,-107.543,-217.587,G,-39060,-8190,1890,M,-280.5,541.5,181.5,
25:48.2,bleT2,-,-,-,0,4,bleA2,-66,bleA4,-65,bleA5,-59,bleA6,-83,,,A,930.433,-36.661,-181.292,G,-61950,2590,7000,M,-244.5,535.5,169.5,
25:48.3,bleT2,-,-,-,0,5,bleA4,-63,bleA6,-66,bleA5,-69,bleA3,-64,bleA2,-65,A,1048.041,-56.669,-175.497,G,-78960,3640,11900,M,-238.5,535.5,157.5,
25:48.4,bleT2,-,-,-,0,4,bleA2,-72,bleA5,-56,bleA6,-64,bleA3,-66,,,A,970.937,-123.159,-357.399,G,-84350,-10430,19810,M,-208.5,546,144,
25:48.5,bleT2,-,-,-,0,5,bleA4,-56,bleA5,-62,bleA6,-66,bleA3,-66,bleA2,-66,A,904.569,-106.079,-360.144,G,-64470,3500,39970,M,-220.5,579,82.5,
25:48.6,bleT2,-,-,-,0,5,bleA5,-66,bleA3,-71,bleA2,-71,bleA4,-60,bleA6,-71,A,935.862,-94.977,-283.406,G,-73220,21980,36890,M,-217.5,601.5,36,
25:48.7,bleT2,-,-,-,0,5,bleA4,-60,bleA5,-66,bleA6,-69,bleA3,-72,bleA2,-72,A,946.049,-127.49,-237.229,G,-85960,37660,20860,M,-228,604.5,-13.5,
25:48.8,bleT2,-,-,-,0,4,bleA2,-67,bleA3,-79,bleA5,-67,bleA4,-59,,,A,920.429,-116.083,-375.821,G,-106400,2590,6720,M,-238.5,607.5,-48,
25:48.9,bleT2,-,-,-,0,5,bleA3,-65,bleA4,-57,bleA5,-65,bleA6,-66,bleA2,-66,A,915,-89.609,-237.168,G,-114170,31290,27580,M,-247.5,613.5,-96,
25:49.1,bleT2,-,-,-,0,5,bleA3,-67,bleA2,-64,bleA4,-54,bleA5,-61,bleA6,-71,A,928.42,-60.329,-290.543,G,-134470,14770,22050,M,-283.5,613.5,-126,
25:49.2,bleT2,-,-,-,0,5,bleA3,-69,bleA4,-55,bleA6,-75,bleA5,-60,bleA2,-64,A,861.808,-90.402,-401.563,G,-132020,10920,28210,M,-307.5,618,-150,
25:49.3,bleT2,-,-,-,0,5,bleA5,-63,bleA3,-66,bleA2,-60,bleA4,-64,bleA6,-72,A,918.599,-72.895,-382.836,G,-131740,1330,27300,M,-345,610.5,-162,
25:49.4,bleT2,-,-,-,0,4,bleA4,-60,bleA5,-74,bleA6,-63,bleA2,-63,,,A,903.959,30.866,-269.742,G,-113680,-5740,24010,M,-391.5,612,-166.5,
25:49.5,bleT2,-,-,-,0,5,bleA5,-60,bleA3,-74,bleA2,-77,bleA4,-69,bleA6,-70,A,1014.308,9.76,-248.27,G,-86590,-6160,16800,M,-430.5,618,-139.5,
25:49.6,bleT2,-,-,-,0,4,bleA4,-62,bleA5,-69,bleA3,-63,bleA2,-66,,,A,959.957,-41.663,-222.772,G,-86100,15610,26110,M,-450,609,-120,
25:49.7,bleT2,-,-,-,0,5,bleA3,-76,bleA2,-63,bleA4,-63,bleA5,-55,bleA6,-72,A,971.791,-45.018,-304.146,G,-72520,24920,47880,M,-513,603,-126,
25:49.8,bleT2,-,-,-,0,4,bleA6,-75,bleA4,-65,bleA3,-72,bleA2,-60,,,A,906.277,-79.3,-275.415,G,-56070,22190,28210,M,-543,594,-118.5,
25:49.9,bleT2,-,-,-,0,5,bleA5,-54,bleA3,-83,bleA2,-60,bleA4,-76,bleA6,-75,A,920.795,-151.89,-372.283,G,-43260,-5040,12110,M,-552,580.5,-120,
25:50.0,bleT2,-,-,-,0,5,bleA4,-65,bleA3,-61,bleA2,-63,bleA5,-66,bleA6,-70,A,924.028,-202.581,-262.849,G,-25690,19390,12880,M,-553.5,580.5,-112.5,
25:50.1,bleT2,-,-,-,0,5,bleA3,-71,bleA2,-60,bleA4,-71,bleA5,-53,bleA6,-75,A,930.311,-185.318,-306.22,G,-10920,5040,5950,M,-562.5,571.5,-114,
25:50.2,bleT2,-,-,-,0,3,bleA4,-64,bleA3,-60,bleA6,-70,,,,,A,900.848,-165.188,-263.703,G,-1960,-700,4480,M,-567,577.5,-106.5,
25:50.3,bleT2,-,-,-,0,5,bleA2,-63,bleA4,-71,bleA6,-80,bleA5,-53,bleA3,-68,A,892.247,-190.015,-263.154,G,4270,5040,4970,M,-574.5,576,-108,
25:50.4,bleT2,-,-,-,0,5,bleA4,-62,bleA6,-72,bleA3,-62,bleA2,-63,bleA5,-70,A,916.586,-137.982,-276.696,G,9030,-16170,-7770,M,-582,579,-112.5,
25:50.5,bleT2,-,-,-,0,5,bleA2,-63,bleA6,-76,bleA5,-53,bleA4,-72,bleA3,-68,A,942.816,-139.141,-247.111,G,13650,2660,-70,M,-579,571.5,-115.5,
25:50.6,bleT2,-,-,-,0,5,bleA4,-61,bleA6,-73,bleA3,-62,bleA2,-62,bleA5,-69,A,936.411,-156.953,-223.382,G,560,280,70,M,-561,567,-121.5,
25:50.7,bleT2,-,-,-,0,5,bleA3,-68,bleA2,-63,bleA4,-71,bleA5,-53,bleA6,-77,A,920.856,-164.456,-263.032,G,-5880,1050,4760,M,-570,570,-109.5,
25:50.8,bleT2,-,-,-,0,4,bleA4,-62,bleA3,-62,bleA2,-65,bleA5,-67,,,A,925.431,-179.34,-225.944,G,-9310,280,-1050,M,-586.5,573,-111,
25:50.9,bleT2,-,-,-,0,5,bleA2,-66,bleA5,-54,bleA4,-71,bleA6,-76,bleA3,-67,A,939.766,-171.471,-254.37,G,-7560,70,-140,M,-583.5,564,-112.5,
25:51.0,bleT2,-,-,-,0,5,bleA4,-62,bleA5,-65,bleA6,-71,bleA3,-61,bleA2,-68,A,945.805,-147.864,-261.812,G,-6720,1050,1820,M,-588,567,-111,
25:51.2,bleT2,-,-,-,0,2,bleA2,-67,bleA5,-55,,,,,,,A,931.409,-154.452,-253.882,G,-6300,1050,420,M,-598.5,573,-102,
25:51.2,bleT2,-,-,-,0,3,bleA4,-71,bleA6,-75,bleA3,-66,,,,,A,934.459,-154.086,-262.605,G,-5460,-840,-3010,M,-601.5,561,-100.5,
25:51.3,bleT2,-,-,-,0,5,bleA4,-62,bleA5,-64,bleA6,-68,bleA3,-62,bleA2,-69,A,944.585,-151.646,-263.764,G,-4200,-1960,-2800,M,-580.5,571.5,-100.5,
25:51.4,bleT2,-,-,-,0,5,bleA2,-67,bleA6,-74,bleA5,-55,bleA4,-70,bleA3,-66,A,947.574,-145.607,-270.23,G,-1960,-1540,-1050,M,-570,579,-102,
25:51.5,bleT2,-,-,-,0,5,bleA4,-62,bleA6,-70,bleA3,-61,bleA2,-68,bleA5,-65,A,945.744,-151.402,-259.616,G,-280,1610,420,M,-573,555,-91.5,
25:51.6,bleT2,-,-,-,0,3,bleA4,-70,bleA6,-76,bleA3,-66,,,,,A,949.465,-150.304,-270.23,G,140,-350,1120,M,-577.5,580.5,-100.5,
25:51.7,bleT2,-,-,-,0,5,bleA4,-63,bleA6,-71,bleA3,-61,bleA2,-67,bleA5,-70,A,941.23,-149.694,-253.15,G,490,2030,1890,M,-573,574.5,-112.5,
25:51.8,bleT2,-,-,-,0,4,bleA4,-70,bleA5,-54,bleA6,-78,bleA3,-65,,,A,936.533,-157.38,-247.294,G,-630,1050,2380,M,-589.5,562.5,-115.5,
25:51.9,bleT2,-,-,-,0,5,bleA3,-60,bleA2,-66,bleA4,-64,bleA6,-70,bleA5,-82,A,941.352,-158.783,-244.366,G,-1820,840,2380,M,-582,570,-97.5,
25:52.0,bleT2,-,-,-,0,4,bleA3,-65,bleA2,-67,bleA5,-55,bleA6,-76,,,A,937.875,-165.92,-242.841,G,-2240,1330,1260,M,-588,561,-100.5,
25:52.1,bleT2,-,-,-,0,5,bleA3,-60,bleA2,-66,bleA4,-71,bleA5,-73,bleA6,-70,A,939.888,-161.345,-235.582,G,-2730,770,770,M,-585,567,-109.5,
25:52.2,bleT2,-,-,-,0,5,bleA3,-77,bleA2,-63,bleA4,-71,bleA5,-55,bleA6,-71,A,943.548,-167.628,-234.423,G,-2940,-700,-140,M,-586.5,565.5,-108,
25:52.3,bleT2,-,-,-,0,5,bleA4,-64,bleA6,-70,bleA3,-61,bleA2,-66,bleA5,-70,A,946.354,-170.068,-244.488,G,-2450,-1260,-420,M,-580.5,567,-109.5,
25:52.4,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-64,bleA4,-75,bleA5,-56,bleA6,-67,A,940.925,-173.789,-240.645,G,-490,-210,840,M,-589.5,585,-97.5,
25:52.5,bleT2,-,-,-,0,5,bleA3,-63,bleA2,-67,bleA4,-79,bleA5,-69,bleA6,-71,A,938.668,-170.251,-244.061,G,-490,-2030,980,M,-580.5,568.5,-100.5,
25:52.6,bleT2,-,-,-,0,5,bleA2,-65,bleA5,-56,bleA6,-66,bleA4,-80,bleA3,-63,A,933.91,-182.085,-241.255,G,-140,-210,910,M,-580.5,553.5,-96,
25:52.7,bleT2,-,-,-,0,5,bleA3,-65,bleA2,-69,bleA4,-82,bleA5,-69,bleA6,-72,A,939.522,-189.405,-248.575,G,-280,-1050,140,M,-592.5,564,-97.5,
25:52.8,bleT2,-,-,-,0,5,bleA5,-56,bleA3,-63,bleA2,-63,bleA4,-84,bleA6,-65,A,933.178,-181.902,-262.117,G,-350,-70,140,M,-589.5,565.5,-96,
25:52.9,bleT2,-,-,-,0,5,bleA5,-69,bleA4,-65,bleA6,-71,bleA3,-65,bleA2,-69,A,931.348,-194.529,-258.457,G,-140,560,70,M,-600,565.5,-99,
25:53.0,bleT2,-,-,-,0,5,bleA5,-56,bleA3,-62,bleA2,-62,bleA4,-84,bleA6,-65,A,919.392,-191.418,-241.987,G,-420,280,-210,M,-582,558,-102,
25:53.1,bleT2,-,-,-,0,5,bleA3,-65,bleA4,-65,bleA5,-69,bleA6,-70,bleA2,-69,A,922.137,-184.647,-236.68,G,-770,-490,-1260,M,-582,568.5,-96,
25:53.3,bleT2,-,-,-,0,5,bleA2,-61,bleA5,-55,bleA3,-62,bleA4,-83,bleA6,-65,A,925.797,-174.46,-229.787,G,-420,0,-1330,M,-595.5,565.5,-103.5,
25:53.4,bleT2,-,-,-,0,5,bleA3,-65,bleA6,-73,bleA4,-65,bleA5,-67,bleA2,-68,A,928.542,-174.399,-226.005,G,-700,-1470,-1680,M,-597,562.5,-108,
25:53.5,bleT2,-,-,-,0,5,bleA2,-60,bleA4,-81,bleA6,-66,bleA5,-55,bleA3,-62,A,925.431,-168.482,-228.14,G,-1050,-3360,-1680,M,-580.5,564,-99,
25:53.6,bleT2,-,-,-,0,5,bleA4,-68,bleA3,-62,bleA2,-65,bleA5,-62,bleA6,-73,A,904.081,-156.465,-216.855,G,-2030,-5600,-840,M,-591,570,-100.5,
25:53.7,bleT2,-,-,-,0,5,bleA2,-63,bleA5,-56,bleA6,-70,bleA4,-74,bleA3,-61,A,905.667,-164.151,-225.456,G,-2380,-10780,-3640,M,-595.5,574.5,-88.5,
25:53.8,bleT2,-,-,-,0,4,bleA4,-71,bleA6,-74,bleA3,-61,bleA2,-62,,,A,930.311,-170.678,-265.838,G,-910,-20510,-1820,M,-589.5,556.5,-76.5,
25:53.9,bleT2,-,-,-,0,3,bleA2,-63,bleA4,-67,bleA6,-65,,,,,A,894.687,-239.12,-254.492,G,-12250,-6510,840,M,-583.5,567,-64.5,
25:54.0,bleT2,-,-,-,0,5,bleA3,-66,bleA2,-61,bleA4,-64,bleA6,-68,bleA5,-61,A,899.445,-222.528,-320.189,G,-17360,-12320,-2030,M,-591,568.5,-46.5,
25:54.1,bleT2,-,-,-,0,5,bleA5,-56,bleA3,-61,bleA2,-65,bleA4,-71,bleA6,-62,A,869.799,-231.678,-321.592,G,-14980,-420,9870,M,-600,553.5,-40.5,
25:54.2,bleT2,-,-,-,0,5,bleA3,-67,bleA4,-71,bleA6,-70,bleA5,-66,bleA2,-59,A,851.133,-251.564,-305.671,G,-18270,13230,1120,M,-592.5,558,-49.5,
25:54.3,bleT2,-,-,-,0,5,bleA2,-68,bleA5,-63,bleA4,-62,bleA6,-63,bleA3,-58,A,891.088,-239.364,-258.091,G,-19460,16310,-3850,M,-591,558,-37.5,
25:54.4,bleT2,-,-,-,0,5,bleA4,-62,bleA6,-65,bleA3,-63,bleA2,-56,bleA5,-63,A,994.3,-262.361,-347.151,G,-23520,16800,840,M,-592.5,553.5,-40.5,
25:54.5,bleT2,-,-,-,0,5,bleA5,-59,bleA3,-65,bleA2,-61,bleA4,-72,bleA6,-64,A,1049.749,-261.69,-283.467,G,-18550,26040,4410,M,-589.5,558,-52.5,
25:54.6,bleT2,-,-,-,0,5,bleA4,-64,bleA6,-67,bleA3,-59,bleA2,-60,bleA5,-63,A,1166.808,-323.3,-585.722,G,-420,55510,17780,M,-583.5,562.5,-63,
25:54.7,bleT2,-,-,-,0,5,bleA5,-66,bleA3,-63,bleA2,-56,bleA4,-75,bleA6,-65,A,874.557,-27.999,-302.194,G,-14280,23660,2100,M,-594,556.5,-55.5,
25:54.8,bleT2,-,-,-,0,5,bleA4,-61,bleA5,-67,bleA6,-69,bleA3,-60,bleA2,-62,A,953.125,-48.129,-268.461,G,-8680,-9800,-7700,M,-589.5,556.5,-52.5,
25:54.9,bleT2,-,-,-,0,5,bleA3,-60,bleA2,-59,bleA4,-69,bleA5,-62,bleA6,-71,A,899.201,-169.458,-324.52,G,4340,-25760,-7560,M,-591,550.5,-61.5,
25:55.0,bleT2,-,-,-,0,5,bleA4,-63,bleA3,-63,bleA2,-68,bleA5,-73,bleA6,-70,A,953.613,-127.917,-195.383,G,18550,-10150,-3780,M,-588,553.5,-52.5,
25:55.1,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-55,bleA2,-69,bleA4,-65,bleA6,-64,A,976.854,-26.291,-192.089,G,29750,-4340,-4830,M,-577.5,565.5,-66,
25:55.2,bleT2,-,-,-,0,5,bleA4,-68,bleA5,-65,bleA6,-67,bleA3,-69,bleA2,-62,A,974.78,-162.626,-238.205,G,39620,-5180,1750,M,-585,558,-58.5,
25:55.4,bleT2,-,-,-,0,4,bleA2,-71,bleA4,-73,bleA5,-56,bleA3,-64,,,A,1053.348,-280.173,-190.93,G,42280,-4340,-3150,M,-591,558,-91.5,
25:55.5,bleT2,-,-,-,0,5,bleA3,-61,bleA2,-62,bleA4,-78,bleA6,-70,bleA5,-65,A,989.847,-185.745,-359.656,G,55370,2800,-10010,M,-594,565.5,-94.5,
25:55.6,bleT2,-,-,-,0,5,bleA5,-56,bleA3,-59,bleA2,-63,bleA4,-70,bleA6,-81,A,875.167,-67.771,-395.036,G,63840,-11130,-26320,M,-568.5,562.5,-118.5,
25:55.7,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-70,bleA3,-66,bleA2,-60,bleA5,-64,A,819.962,-179.096,-377.407,G,65800,8470,-20510,M,-537,571.5,-144,
25:55.8,bleT2,-,-,-,0,3,bleA2,-64,bleA4,-70,bleA6,-66,,,,,A,775.005,-94.123,-269.986,G,55020,-27860,-25900,M,-532.5,583.5,-145.5,
25:55.9,bleT2,-,-,-,0,5,bleA4,-59,bleA6,-66,bleA3,-71,bleA2,-61,bleA5,-63,A,887.184,-221.125,-322.08,G,53270,-9030,-22890,M,-504,577.5,-145.5,
25:56.0,bleT2,-,-,-,0,5,bleA2,-62,bleA5,-62,bleA4,-68,bleA6,-76,bleA3,-65,A,978.257,-192.943,-329.339,G,41440,-17850,-31430,M,-477,585,-150,
25:56.1,bleT2,-,-,-,0,5,bleA4,-69,bleA6,-66,bleA3,-70,bleA2,-64,bleA5,-57,A,975.085,-172.203,-329.217,G,31290,22400,-4480,M,-463.5,589.5,-150,
25:56.2,bleT2,-,-,-,0,5,bleA5,-59,bleA3,-71,bleA2,-61,bleA4,-67,bleA6,-76,A,1078.297,-333.609,-177.815,G,32900,11340,-5040,M,-451.5,577.5,-187.5,
25:56.3,bleT2,-,-,-,0,5,bleA3,-77,bleA2,-63,bleA5,-64,bleA4,-65,bleA6,-64,A,1353.59,5.734,-724.131,G,23730,-46550,-1470,M,-453,582,-196.5,
25:56.4,bleT2,-,-,-,0,5,bleA5,-54,bleA3,-68,bleA2,-58,bleA4,-72,bleA6,-71,A,898.53,-12.322,-284.504,G,42840,23870,24710,M,-451.5,577.5,-202.5,
25:56.5,bleT2,-,-,-,0,2,bleA4,-60,bleA3,-66,,,,,,,A,777.75,-173.911,-271.938,G,56280,-32830,-12670,M,-438,585,-187.5,
25:56.5,bleT2,-,-,-,0,2,bleA2,-59,bleA5,-57,,,,,,,A,847.351,-202.52,-279.624,G,66500,-16940,-14000,M,-426,589.5,-186,
25:56.6,bleT2,-,-,-,0,5,bleA2,-59,bleA4,-58,bleA5,-62,bleA6,-67,bleA3,-62,A,916.708,-168.421,-206.241,G,65310,-30870,-32690,M,-400.5,588,-181.5,
25:56.7,bleT2,-,-,-,0,5,bleA4,-57,bleA3,-62,bleA6,-64,bleA5,-62,bleA2,-61,A,869.555,-81.862,-248.026,G,66220,-23940,-32130,M,-351,588,-157.5,
25:56.8,bleT2,-,-,-,0,4,bleA2,-63,bleA5,-59,bleA6,-64,bleA3,-63,,,A,1058.594,-195.627,-148.413,G,52290,-38290,-6090,M,-339,598.5,-172.5,
25:56.9,bleT2,-,-,-,0,5,bleA3,-69,bleA4,-56,bleA5,-62,bleA6,-74,bleA2,-71,A,1214.998,-299.876,-454.938,G,47390,-41230,3710,M,-325.5,591,-142.5,
25:57.0,bleT2,-,-,-,0,3,bleA5,-55,bleA3,-61,bleA4,-53,,,,,A,814.472,-14.274,-488.61,G,52220,-11900,-980,M,-325.5,592.5,-121.5,
25:57.1,bleT2,-,-,-,0,3,bleA6,-64,bleA4,-63,bleA3,-74,,,,,A,790.743,-181.353,-319.701,G,41230,1540,-9100,M,-315,588,-135,
25:57.2,bleT2,-,-,-,0,5,bleA5,-64,bleA3,-77,bleA2,-65,bleA4,-55,bleA6,-66,A,776.286,-72.956,-167.933,G,23730,-19950,-33460,M,-295.5,595.5,-111,
25:57.3,bleT2,-,-,-,0,5,bleA3,-64,bleA2,-89,bleA4,-59,bleA6,-73,bleA5,-68,A,880.474,-212.158,-296.216,G,-11410,-12950,-2240,M,-292.5,594,-112.5,
25:57.5,bleT2,-,-,-,0,4,bleA4,-60,bleA5,-58,bleA6,-70,bleA3,-69,,,A,976.244,-192.943,-305.122,G,-27230,-21560,-10360,M,-270,580.5,-106.5,
25:57.6,bleT2,-,-,-,0,5,bleA3,-72,bleA2,-70,bleA4,-62,bleA6,-65,bleA5,-74,A,943.426,-198.311,-202.581,G,-35210,32060,12040,M,-282,588,-115.5,
25:57.7,bleT2,-,-,-,0,5,bleA5,-57,bleA3,-78,bleA2,-61,bleA4,-53,bleA6,-68,A,1151.192,-295.362,-184.037,G,-40950,6860,1050,M,-300,588,-133.5,
